Replacing references of tdm01
tdm01_d07_01.wok: 3 changes made
tdm01_d08_01.mdl: 14 changes made
tdm01_d08_01.wok: 3 changes made
tdm01_d09_01.mdl: 13 changes made
tdm01_d09_01.wok: 3 changes made
tdm01_d11_01.mdl: 13 changes made
tdm01_d11_01.wok: 3 changes made
tdm01_d12_01.mdl: 22 changes made
tdm01_d12_01.wok: 3 changes made
tdm01_d13_01.mdl: 22 changes made
tdm01_d13_01.wok: 3 changes made
tdm01_d14_01.mdl: 13 changes made
tdm01_d14_01.wok: 3 changes made
tdm01_d15_01.mdl: 13 changes made
tdm01_d15_01.wok: 3 changes made
tdm01_d16_01.mdl: 19 changes made
tdm01_d16_01.wok: 3 changes made
tdm01_d18_01.mdl: 29 changes made
tdm01_d18_01.wok: 3 changes made
tdm01_d19_01.mdl: 25 changes made
tdm01_d19_01.wok: 3 changes made
tdm01_e11_01.mdl: 22 changes made
tdm01_e11_01.wok: 3 changes made
tdm01_e12_01.mdl: 25 changes made
tdm01_e12_01.wok: 3 changes made
tdm01_e13_01.mdl: 30 changes made
tdm01_e13_01.wok: 3 changes made
tdm01_e14_01.mdl: 24 changes made
tdm01_e14_01.wok: 3 changes made
tdm01_e15_01.mdl: 26 changes made
tdm01_e15_01.wok: 3 changes made
tdm01_e16_01.mdl: 40 changes made
tdm01_e16_01.wok: 3 changes made
tdm01_f01_01.mdl: 49 changes made
tdm01_f01_01.wok: 3 changes made
tdm01_f02_01.mdl: 41 changes made
tdm01_f02_01.wok: 3 changes made
tdm01_f03_01.mdl: 43 changes made
tdm01_f03_01.wok: 3 changes made
tdm01_f04_01.mdl: 52 changes made
tdm01_f04_01.wok: 3 changes made
tdm01_f05_01.mdl: 54 changes made
tdm01_f05_01.wok: 3 changes made
tdm01_f06_01.mdl: 56 changes made
tdm01_f06_01.wok: 3 changes made
tdm01_f07_01.mdl: 52 changes made
tdm01_f07_01.wok: 3 changes made
tdm01_f08_01.mdl: 33 changes made
tdm01_f08_01.wok: 3 changes made
tdm01_f11_01.mdl: 51 changes made
tdm01_f11_01.wok: 3 changes made
tdm01_f12_01.mdl: 55 changes made
tdm01_f12_01.wok: 3 changes made
tdm01_f13_01.mdl: 18 changes made
tdm01_f13_01.wok: 3 changes made
tdm01_f14_01.mdl: 21 changes made
tdm01_f14_01.wok: 3 changes made
tdm01_f15_01.mdl: 23 changes made
tdm01_f15_01.wok: 3 changes made
tdm01_f16_01.mdl: 20 changes made
tdm01_f16_01.wok: 3 changes made
tdm01_f17_01.mdl: 21 changes made
tdm01_f17_01.wok: 3 changes made
tdm01_f18_01.mdl: 20 changes made
tdm01_f18_01.wok: 3 changes made
tdm01_f19_01.mdl: 22 changes made
tdm01_f19_01.wok: 3 changes made
tdm01_f20_01.mdl: 18 changes made
tdm01_f20_01.wok: 3 changes made
tdm01_g01_01.mdl: 21 changes made
tdm01_g01_01.wok: 3 changes made
tdm01_g01_02.mdl: 16 changes made
tdm01_g01_02.wok: 3 changes made
tdm01_g01_03.mdl: 17 changes made
tdm01_g01_03.wok: 3 changes made
tdm01_g02_01.mdl: 22 changes made
tdm01_g02_01.wok: 3 changes made
tdm01_g02_02.mdl: 13 changes made
tdm01_g02_02.wok: 3 changes made
tdm01_g02_03.mdl: 13 changes made
tdm01_g02_03.wok: 3 changes made
tdm01_g03_01.mdl: 19 changes made
tdm01_g03_01.wok: 3 changes made
tdm01_g03_02.mdl: 19 changes made
tdm01_g03_02.wok: 3 changes made
tdm01_g04_01.mdl: 22 changes made
tdm01_g04_01.wok: 3 changes made
tdm01_g05_01.mdl: 23 changes made
tdm01_g05_01.wok: 3 changes made
tdm01_g05_02.mdl: 19 changes made
tdm01_g05_02.wok: 3 changes made
tdm01_g07_01.mdl: 16 changes made
tdm01_g07_01.wok: 3 changes made
tdm01_g08_01.mdl: 16 changes made
tdm01_g08_01.wok: 3 changes made
tdm01_g09_01.mdl: 15 changes made
tdm01_g09_01.wok: 3 changes made
tdm01_g09_02.mdl: 16 changes made
tdm01_g09_02.wok: 3 changes made
tdm01_g10_01.mdl: 15 changes made
tdm01_g10_01.wok: 3 changes made
tdm01_g10_02.mdl: 16 changes made
tdm01_g10_02.wok: 3 changes made
tdm01_g11_01.mdl: 22 changes made
tdm01_g11_01.wok: 3 changes made
tdm01_g12_01.mdl: 19 changes made
tdm01_g12_01.wok: 3 changes made
tdm01_g13_01.mdl: 27 changes made
tdm01_g13_01.wok: 3 changes made
tdm01_g14_01.mdl: 19 changes made
tdm01_g14_01.wok: 3 changes made
tdm01_g15_01.mdl: 25 changes made
tdm01_g15_01.wok: 3 changes made
tdm01_g16_01.mdl: 13 changes made
tdm01_g16_01.wok: 3 changes made
tdm01_g17_01.mdl: 25 changes made
tdm01_g17_01.wok: 3 changes made
tdm01_g17_02.mdl: 32 changes made
tdm01_g17_02.wok: 3 changes made
tdm01_g18_01.mdl: 26 changes made
tdm01_g18_01.wok: 3 changes made
tdm01_g19_01.mdl: 23 changes made
tdm01_g19_01.wok: 3 changes made
tdm01_g20_01.mdl: 19 changes made
tdm01_g20_01.wok: 3 changes made
tdm01_h01_01.mdl: 35 changes made
tdm01_h01_01.wok: 3 changes made
tdm01_h01_02.mdl: 42 changes made
tdm01_h01_02.wok: 3 changes made
tdm01_h01_03.mdl: 28 changes made
tdm01_h01_03.wok: 3 changes made
tdm01_h02_01.mdl: 41 changes made
tdm01_h02_01.wok: 3 changes made
tdm01_h02_02.mdl: 44 changes made
tdm01_h02_02.wok: 3 changes made
tdm01_h02_03.mdl: 38 changes made
tdm01_h02_03.wok: 3 changes made
tdm01_h03_01.mdl: 41 changes made
tdm01_h03_01.wok: 3 changes made
tdm01_h03_02.mdl: 44 changes made
tdm01_h03_02.wok: 3 changes made
tdm01_h04_01.mdl: 42 changes made
tdm01_h04_01.wok: 3 changes made
tdm01_h05_01.mdl: 36 changes made
tdm01_h05_01.wok: 3 changes made
tdm01_h05_02.mdl: 30 changes made
tdm01_h05_02.wok: 3 changes made
tdm01_h07_01.mdl: 42 changes made
tdm01_h07_01.wok: 3 changes made
tdm01_h08_01.mdl: 41 changes made
tdm01_h08_01.wok: 3 changes made
tdm01_h09_01.mdl: 42 changes made
tdm01_h09_01.wok: 3 changes made
tdm01_h09_02.mdl: 32 changes made
tdm01_h09_02.wok: 3 changes made
tdm01_h10_01.mdl: 43 changes made
tdm01_h10_01.wok: 3 changes made
tdm01_h10_02.mdl: 32 changes made
tdm01_h10_02.wok: 3 changes made
tdm01_h11_01.mdl: 50 changes made
tdm01_h11_01.wok: 3 changes made
tdm01_h12_01.mdl: 59 changes made
tdm01_h12_01.wok: 3 changes made
tdm01_h13_01.mdl: 68 changes made
tdm01_h13_01.wok: 3 changes made
tdm01_h14_01.mdl: 58 changes made
tdm01_h14_01.wok: 3 changes made
tdm01_h15_01.mdl: 56 changes made
tdm01_h15_01.wok: 3 changes made
tdm01_h16_01.mdl: 56 changes made
tdm01_h16_01.wok: 3 changes made
tdm01_h17_01.mdl: 41 changes made
tdm01_h17_01.wok: 3 changes made
tdm01_h17_02.mdl: 34 changes made
tdm01_h17_02.wok: 3 changes made
tdm01_h18_01.mdl: 48 changes made
tdm01_h18_01.wok: 3 changes made
tdm01_h19_01.mdl: 56 changes made
tdm01_h19_01.wok: 3 changes made
tdm01_h20_01.mdl: 34 changes made
tdm01_h20_01.wok: 3 changes made
tdm01_i01_01.mdl: 39 changes made
tdm01_i01_01.wok: 3 changes made
tdm01_i03_01.mdl: 33 changes made
tdm01_i03_01.wok: 3 changes made
tdm01_i04_01.mdl: 33 changes made
tdm01_i04_01.wok: 3 changes made
tdm01_i06_01.mdl: 40 changes made
tdm01_i06_01.wok: 3 changes made
tdm01_i07_01.mdl: 51 changes made
tdm01_i07_01.wok: 3 changes made
tdm01_i08_01.mdl: 41 changes made
tdm01_i08_01.wok: 3 changes made
tdm01_i09_01.mdl: 37 changes made
tdm01_i09_01.wok: 3 changes made
tdm01_i10_01.mdl: 33 changes made
tdm01_i10_01.wok: 3 changes made
tdm01_i11_01.mdl: 31 changes made
tdm01_i11_01.wok: 3 changes made
tdm01_i13_01.mdl: 46 changes made
tdm01_i13_01.wok: 3 changes made
tdm01_i14_01.mdl: 30 changes made
tdm01_i14_01.wok: 3 changes made
tdm01_i15_01.mdl: 49 changes made
tdm01_i15_01.wok: 3 changes made
tdm01_i16_01.mdl: 38 changes made
tdm01_i16_01.wok: 3 changes made
tdm01_i18_01.mdl: 33 changes made
tdm01_i18_01.wok: 3 changes made
tdm01_i19_01.mdl: 32 changes made
tdm01_i19_01.wok: 3 changes made
tdm01_j01_01.mdl: 26 changes made
tdm01_j01_01.wok: 3 changes made
tdm01_j01_02.mdl: 19 changes made
tdm01_j01_02.wok: 3 changes made
tdm01_j01_03.mdl: 22 changes made
tdm01_j01_03.wok: 3 changes made
tdm01_j02_01.mdl: 20 changes made
tdm01_j02_01.wok: 3 changes made
tdm01_j02_02.mdl: 19 changes made
tdm01_j02_02.wok: 3 changes made
tdm01_j02_03.mdl: 18 changes made
tdm01_j02_03.wok: 3 changes made
tdm01_j03_01.mdl: 23 changes made
tdm01_j03_01.wok: 3 changes made
tdm01_j04_01.mdl: 19 changes made
tdm01_j04_01.wok: 3 changes made
tdm01_j05_01.mdl: 12 changes made
tdm01_j05_01.wok: 3 changes made
tdm01_j05_02.mdl: 13 changes made
tdm01_j05_02.wok: 3 changes made
tdm01_j05_03.mdl: 19 changes made
tdm01_j05_03.wok: 3 changes made
tdm01_j07_01.mdl: 22 changes made
tdm01_j07_01.wok: 3 changes made
tdm01_j07_02.mdl: 21 changes made
tdm01_j07_02.wok: 3 changes made
tdm01_j09_01.mdl: 14 changes made
tdm01_j09_01.wok: 3 changes made
tdm01_j10_01.mdl: 18 changes made
tdm01_j10_01.wok: 3 changes made
tdm01_j11_01.mdl: 20 changes made
tdm01_j11_01.wok: 3 changes made
tdm01_j12_01.mdl: 17 changes made
tdm01_j12_01.wok: 3 changes made
tdm01_j13_01.mdl: 12 changes made
tdm01_j13_01.wok: 3 changes made
tdm01_k01_01.mdl: 28 changes made
tdm01_k01_01.wok: 3 changes made
tdm01_k01_02.mdl: 29 changes made
tdm01_k01_02.wok: 3 changes made
tdm01_k01_03.mdl: 30 changes made
tdm01_k01_03.wok: 3 changes made
tdm01_k02_01.mdl: 33 changes made
tdm01_k02_01.wok: 3 changes made
tdm01_k02_02.mdl: 35 changes made
tdm01_k02_02.wok: 3 changes made
tdm01_k02_03.mdl: 30 changes made
tdm01_k02_03.wok: 3 changes made
tdm01_k03_01.mdl: 22 changes made
tdm01_k03_01.wok: 3 changes made
tdm01_k04_01.mdl: 27 changes made
tdm01_k04_01.wok: 3 changes made
tdm01_k05_01.mdl: 16 changes made
tdm01_k05_01.wok: 3 changes made
tdm01_k05_02.mdl: 16 changes made
tdm01_k05_02.wok: 3 changes made
tdm01_k07_01.mdl: 33 changes made
tdm01_k07_01.wok: 3 changes made
tdm01_k07_02.mdl: 21 changes made
tdm01_k07_02.wok: 3 changes made
tdm01_k09_01.mdl: 29 changes made
tdm01_k09_01.wok: 3 changes made
tdm01_k10_01.mdl: 23 changes made
tdm01_k10_01.wok: 3 changes made
tdm01_o01_01.mdl: 8 changes made
tdm01_o01_01.wok: 3 changes made
tdm01_o02_01.mdl: 11 changes made
tdm01_o02_01.wok: 3 changes made
tdm01_o03_01.mdl: 28 changes made
tdm01_o03_01.wok: 3 changes made
tdm01_o04_01.mdl: 20 changes made
tdm01_o04_01.wok: 3 changes made
tdm01_o05_01.mdl: 15 changes made
tdm01_o05_01.wok: 3 changes made
tdm01_o06_01.mdl: 12 changes made
tdm01_o06_01.wok: 3 changes made
tdm01_o09_01.mdl: 32 changes made
tdm01_o09_01.wok: 3 changes made
tdm01_o09_02.mdl: 21 changes made
tdm01_o09_02.wok: 3 changes made
tdm01_o11_01.mdl: 40 changes made
tdm01_o11_01.wok: 3 changes made
tdm01_o13_01.mdl: 31 changes made
tdm01_o13_01.wok: 3 changes made
tdm01_o15_01.mdl: 21 changes made
tdm01_o15_01.wok: 3 changes made
tdm01_o16_01.mdl: 19 changes made
tdm01_o16_01.wok: 3 changes made
tdm01_o18_01.mdl: 23 changes made
tdm01_o18_01.wok: 3 changes made
tdm01_o19_01.mdl: 43 changes made
tdm01_o19_01.wok: 3 changes made
tdm01_p01_01.mdl: 9 changes made
tdm01_p01_01.wok: 3 changes made
tdm01_p02_01.mdl: 12 changes made
tdm01_p02_01.wok: 3 changes made
tdm01_p05_01.mdl: 21 changes made
tdm01_p05_01.wok: 3 changes made
tdm01_p06_01.mdl: 39 changes made
tdm01_p06_01.wok: 3 changes made
tdm01_p09_01.mdl: 33 changes made
tdm01_p09_01.wok: 3 changes made
tdm01_p09_02.mdl: 44 changes made
tdm01_p09_02.wok: 3 changes made
tdm01_p11_01.mdl: 44 changes made
tdm01_p11_01.wok: 3 changes made
tdm01_p11_02.mdl: 21 changes made
tdm01_p11_02.wok: 3 changes made
tdm01_p13_01.mdl: 23 changes made
tdm01_p13_01.wok: 3 changes made
tdm01_p15_01.mdl: 19 changes made
tdm01_p15_01.wok: 3 changes made
tdm01_p16_01.mdl: 18 changes made
tdm01_p16_01.wok: 3 changes made
tdm01_p18_01.mdl: 34 changes made
tdm01_p18_01.wok: 3 changes made
tdm01_p19_01.mdl: 15 changes made
tdm01_p19_01.wok: 3 changes made
tdm01_q01_01.mdl: 20 changes made
tdm01_q01_01.wok: 3 changes made
tdm01_q02_01.mdl: 20 changes made
tdm01_q02_01.wok: 3 changes made
tdm01_q13_01.mdl: 44 changes made
tdm01_q13_01.wok: 3 changes made
tdm01_r01_01.mdl: 22 changes made
tdm01_r01_01.wok: 3 changes made
tdm01_r02_01.mdl: 19 changes made
tdm01_r02_01.wok: 3 changes made
tdm01_r13_01.mdl: 38 changes made
tdm01_r13_01.wok: 3 changes made
tdm01_s01_01.mdl: 22 changes made
tdm01_s01_01.wok: 3 changes made
tdm01_s02_01.mdl: 9 changes made
tdm01_s02_01.wok: 3 changes made
tdm01_s04_01.mdl: 20 changes made
tdm01_s04_01.wok: 3 changes made
tdm01_s06_01.mdl: 40 changes made
tdm01_s06_01.wok: 3 changes made
tdm01_s08_01.mdl: 26 changes made
tdm01_s08_01.wok: 3 changes made
tdm01_s10_01.mdl: 50 changes made
tdm01_s10_01.wok: 3 changes made
tdm01_s11_01.mdl: 32 changes made
tdm01_s11_01.wok: 3 changes made
tdm01_s13_01.mdl: 53 changes made
tdm01_s13_01.wok: 3 changes made
tdm01_s15_01.mdl: 18 changes made
tdm01_s15_01.wok: 3 changes made
tdm01_s17_01.mdl: 33 changes made
tdm01_s17_01.wok: 3 changes made
tdm01_s18_01.mdl: 52 changes made
tdm01_s18_01.wok: 3 changes made
tdm01_t01_01.mdl: 22 changes made
tdm01_t01_01.wok: 3 changes made
tdm01_t02_01.mdl: 15 changes made
tdm01_t02_01.wok: 3 changes made
tdm01_t04_01.mdl: 18 changes made
tdm01_t04_01.wok: 3 changes made
tdm01_t06_01.mdl: 35 changes made
tdm01_t06_01.wok: 3 changes made
tdm01_t08_01.mdl: 23 changes made
tdm01_t08_01.wok: 3 changes made
tdm01_t10_01.mdl: 57 changes made
tdm01_t10_01.wok: 3 changes made
tdm01_t11_01.mdl: 35 changes made
tdm01_t11_01.wok: 3 changes made
tdm01_t13_01.mdl: 33 changes made
tdm01_t13_01.wok: 3 changes made
tdm01_t15_01.mdl: 20 changes made
tdm01_t15_01.wok: 3 changes made
tdm01_t17_01.mdl: 25 changes made
tdm01_t17_01.wok: 3 changes made
tdm01_u01_01.mdl: 10 changes made
tdm01_u01_01.wok: 3 changes made
tdm01_u02_01.mdl: 15 changes made
tdm01_u02_01.wok: 3 changes made
tdm01_u04_01.mdl: 18 changes made
tdm01_u04_01.wok: 3 changes made
tdm01_u06_01.mdl: 22 changes made
tdm01_u06_01.wok: 3 changes made
tdm01_u07_01.mdl: 18 changes made
tdm01_u07_01.wok: 3 changes made
tdm01_v01_01.mdl: 7 changes made
tdm01_v01_01.wok: 3 changes made
tdm01_v02_01.mdl: 7 changes made
tdm01_v02_01.wok: 3 changes made
tdm01_v04_01.mdl: 18 changes made
tdm01_v04_01.wok: 3 changes made
tdm01_z01_01.mdl: 4 changes made
tdm01_z01_01.wok: 2 changes made
tdm01_z02_01.mdl: 3 changes made
tdm01_z02_01.wok: 2 changes made
tdm01_z03_01.mdl: 3 changes made
tdm01_z03_01.wok: 2 changes made
tdm01_z04_01.mdl: 18 changes made
tdm01_z04_01.wok: 2 changes made
tdm01_z05_01.mdl: 9 changes made
tdm01_z05_01.wok: 2 changes made
tdm01_z06_01.mdl: 35 changes made
tdm01_z06_01.wok: 2 changes made
tdm01_z07_01.mdl: 7 changes made
tdm01_z07_01.wok: 2 changes made
tdm01_z08_01.mdl: 12 changes made
tdm01_z08_01.wok: 2 changes made
tdm01_z09_01.mdl: 7 changes made
tdm01_z09_01.wok: 2 changes made
tdm01_z10_01.mdl: 18 changes made
tdm01_z10_01.wok: 2 changes made
tdm01_z11_01.mdl: 12 changes made
tdm01_z11_01.wok: 2 changes made
tdm01_z20_01.mdl: 15 changes made
tdm01_z20_01.wok: 3 changes made
tdm01_zi08_01.mdl: 12 changes made
tdm01_zi08_01.wok: 2 changes made
****************
526 files modified

Replacing references of midm01
****************
tdm01.set: 238 changes made
****************
1 files modified

Renaming Files that contain tdm01
****************
550 file(s) renamed

Renaming Files that contain midm01
****************
0 file(s) renamed

Tileset Duplication complete

